iter	Passed	Remaining
0	132	132655
1	134	67235
2	136	45394
3	138	34417
4	139	27858
5	141	23412
6	142	20242
7	144	17857
8	145	16009
9	146	14516
10	147	13284
11	149	12268
12	150	11426
13	151	10683
14	152	10027
15	153	9453
16	154	8947
17	155	8486
18	156	8063
19	156	7684
20	157	7338
21	158	7027
22	158	6744
23	159	6480
24	159	6238
25	160	6013
26	161	5806
27	161	5614
28	162	5434
29	162	5266
30	163	5111
31	164	4963
32	164	4825
33	165	4695
34	165	4572
35	166	4456
36	167	4346
37	167	4242
38	168	4144
39	168	4050
40	169	3961
41	170	3877
42	170	3796
43	171	3723
44	171	3649
45	172	3579
46	173	3511
47	173	3448
48	174	3386
49	175	3326
50	175	3270
51	176	3215
52	177	3163
53	177	3112
54	178	3063
55	178	3016
56	179	2970
57	180	2925
58	180	2882
59	181	2841
60	181	2801
61	182	2762
62	183	2724
63	183	2687
64	184	2651
65	184	2617
66	185	2583
67	185	2547
68	186	2515
69	187	2485
70	187	2454
71	188	2427
72	188	2399
73	189	2372
74	190	2345
75	190	2319
76	191	2294
77	192	2270
78	192	2246
79	193	2222
80	193	2199
81	194	2177
82	195	2155
83	195	2133
84	196	2110
85	196	2089
86	197	2067
87	197	2047
88	198	2028
89	198	2011
90	199	1993
91	200	1975
92	200	1957
93	201	1940
94	201	1923
95	202	1906
96	203	1890
97	203	1874
98	204	1859
99	204	1843
100	205	1828
101	205	1811
102	206	1797
103	206	1783
104	207	1768
105	208	1755
106	208	1741
107	209	1728
108	209	1715
109	210	1702
110	211	1690
111	211	1677
112	212	1665
113	212	1654
114	213	1642
115	213	1630
116	214	1619
117	215	1608
118	215	1596
119	216	1585
120	216	1574
121	217	1564
122	217	1552
123	218	1542
124	218	1532
125	219	1522
126	220	1513
127	220	1502
128	221	1493
129	221	1484
130	222	1475
131	222	1466
132	223	1457
133	224	1448
134	224	1439
135	225	1431
136	225	1422
137	226	1415
138	227	1408
139	227	1399
140	228	1391
141	229	1384
142	229	1376
143	230	1369
144	230	1361
145	231	1354
146	232	1346
147	232	1339
148	233	1332
149	233	1325
150	234	1318
151	235	1311
152	235	1305
153	236	1298
154	236	1291
155	237	1285
156	238	1278
157	238	1272
158	239	1265
159	239	1259
160	240	1253
161	241	1247
162	241	1241
163	242	1235
164	242	1229
165	243	1223
166	244	1217
167	244	1211
168	245	1205
169	245	1200
170	246	1194
171	247	1189
172	247	1183
173	248	1178
174	248	1172
175	249	1167
176	249	1162
177	250	1156
178	251	1151
179	251	1146
180	251	1140
181	252	1135
182	253	1130
183	253	1125
184	254	1121
185	255	1116
186	255	1111
187	256	1107
188	256	1102
189	257	1097
190	258	1093
191	258	1088
192	259	1084
193	259	1079
194	260	1075
195	261	1070
196	261	1066
197	262	1062
198	262	1057
199	263	1053
200	263	1049
201	264	1045
202	265	1041
203	265	1036
204	266	1032
205	266	1028
206	267	1025
207	268	1021
208	269	1018
209	269	1014
210	270	1010
211	270	1006
212	271	1002
213	271	998
214	272	994
215	273	991
216	273	987
217	274	983
218	274	980
219	275	976
220	275	972
221	276	969
222	277	965
223	277	961
224	278	958
225	278	955
226	279	951
227	280	948
228	280	944
229	281	941
230	281	938
231	282	935
232	283	932
233	283	928
234	284	925
235	284	922
236	285	919
237	286	915
238	286	912
239	287	909
240	287	906
241	288	903
242	288	900
243	289	897
244	290	894
245	290	891
246	291	888
247	291	885
248	292	882
249	293	879
250	293	876
251	294	873
252	294	870
253	295	867
254	296	865
255	296	862
256	297	859
257	297	856
258	298	854
259	299	851
260	299	848
261	300	845
262	300	843
263	301	840
264	302	837
265	302	835
266	303	832
267	303	829
268	304	827
269	304	824
270	305	821
271	306	819
272	306	816
273	307	814
274	307	811
275	308	809
276	309	806
277	309	804
278	310	802
279	311	800
280	311	797
281	312	795
282	312	792
283	313	790
284	314	787
285	314	785
286	315	783
287	315	780
288	316	778
289	316	776
290	317	773
291	318	771
292	318	769
293	319	766
294	319	764
295	320	762
296	321	760
297	321	757
298	322	755
299	322	753
300	323	751
301	324	749
302	324	746
303	325	744
304	325	742
305	326	740
306	327	738
307	327	736
308	328	734
309	328	732
310	329	730
311	330	728
312	330	725
313	331	723
314	331	721
315	332	720
316	333	718
317	333	715
318	334	713
319	334	711
320	335	709
321	336	707
322	336	705
323	337	703
324	337	701
325	338	700
326	339	698
327	339	696
328	340	694
329	340	692
330	341	690
331	342	688
332	342	686
333	343	684
334	343	682
335	344	680
336	345	678
337	345	676
338	346	675
339	346	673
340	347	671
341	347	669
342	348	667
343	349	665
344	349	663
345	350	662
346	350	660
347	351	658
348	352	657
349	352	655
350	353	653
351	354	651
352	354	650
353	355	648
354	356	646
355	356	645
356	357	643
357	357	641
358	358	640
359	359	638
360	359	636
361	360	634
362	360	633
363	361	631
364	362	629
365	362	628
366	363	626
367	363	624
368	364	623
369	365	621
370	366	620
371	367	619
372	368	618
373	368	617
374	369	616
375	370	614
376	371	613
377	371	611
378	372	610
379	372	608
380	373	606
381	374	605
382	374	603
383	375	602
384	375	600
385	376	598
386	377	597
387	377	595
388	378	594
389	378	592
390	379	591
391	380	589
392	380	587
393	381	586
394	381	584
395	382	583
396	383	581
397	383	580
398	384	578
399	384	577
400	385	575
401	386	574
402	386	572
403	387	571
404	387	569
405	388	568
406	389	566
407	389	565
408	390	563
409	390	562
410	391	560
411	392	559
412	392	558
413	393	556
414	393	555
415	394	553
416	395	552
417	395	550
418	396	549
419	396	548
420	397	546
421	398	545
422	398	543
423	399	542
424	399	540
425	400	539
426	400	537
427	401	536
428	402	535
429	402	533
430	403	532
431	403	530
432	404	529
433	405	528
434	405	526
435	406	525
436	406	524
437	407	522
438	407	521
439	408	519
440	409	518
441	409	517
442	410	515
443	410	514
444	411	513
445	412	511
446	412	510
447	413	509
448	413	507
449	414	506
450	415	505
451	415	504
452	416	502
453	416	501
454	417	500
455	418	498
456	418	497
457	419	496
458	419	494
459	420	493
460	421	492
461	421	490
462	422	489
463	422	488
464	423	487
465	423	485
466	424	484
467	425	483
468	425	482
469	426	480
470	426	479
471	427	478
472	428	476
473	428	475
474	429	474
475	429	473
476	430	471
477	430	470
478	431	469
479	432	468
480	432	467
481	433	465
482	433	464
483	434	463
484	435	462
485	435	460
486	436	459
487	436	458
488	437	457
489	438	455
490	438	454
491	439	453
492	439	452
493	440	451
494	440	449
495	441	448
496	442	447
497	442	446
498	443	445
499	443	443
500	444	442
501	445	441
502	445	440
503	446	439
504	446	438
505	447	436
506	448	435
507	448	434
508	449	433
509	449	432
510	450	430
511	450	429
512	451	428
513	452	427
514	452	426
515	453	425
516	453	424
517	454	422
518	455	421
519	455	420
520	456	419
521	456	418
522	457	417
523	457	416
524	458	414
525	459	413
526	459	412
527	461	412
528	461	411
529	462	410
530	463	409
531	463	407
532	464	406
533	464	405
534	465	404
535	466	403
536	466	402
537	467	401
538	467	400
539	468	399
540	469	397
541	469	396
542	470	395
543	470	394
544	471	393
545	472	392
546	472	391
547	473	390
548	473	389
549	474	388
550	475	387
551	475	386
552	476	385
553	477	384
554	477	383
555	478	382
556	479	381
557	479	379
558	480	378
559	480	377
560	481	376
561	482	375
562	482	374
563	483	373
564	483	372
565	484	371
566	485	370
567	485	369
568	486	368
569	486	367
570	487	366
571	488	365
572	488	364
573	489	363
574	490	362
575	490	361
576	491	360
577	492	359
578	492	358
579	493	357
580	493	356
581	494	355
582	495	354
583	495	353
584	496	351
585	496	350
586	497	349
587	497	348
588	498	347
589	499	346
590	499	345
591	500	344
592	500	343
593	501	342
594	502	341
595	502	340
596	503	339
597	504	338
598	504	337
599	505	336
600	505	335
601	506	334
602	506	333
603	507	332
604	508	331
605	508	330
606	509	329
607	509	328
608	510	327
609	510	326
610	511	325
611	512	324
612	512	323
613	513	322
614	513	321
615	514	320
616	514	319
617	515	318
618	516	317
619	516	316
620	517	315
621	517	314
622	518	313
623	519	312
624	519	311
625	520	310
626	520	309
627	521	308
628	521	307
629	522	306
630	522	305
631	523	304
632	524	303
633	524	303
634	525	302
635	526	301
636	526	300
637	527	299
638	528	298
639	528	297
640	529	296
641	530	295
642	530	294
643	531	293
644	531	292
645	532	291
646	533	290
647	533	289
648	534	288
649	534	287
650	535	287
651	535	286
652	536	285
653	537	284
654	537	283
655	538	282
656	538	281
657	539	280
658	540	279
659	540	278
660	541	277
661	541	276
662	542	275
663	543	274
664	543	273
665	544	272
666	544	272
667	545	271
668	545	270
669	546	269
670	547	268
671	547	267
672	548	266
673	548	265
674	549	264
675	550	263
676	550	262
677	551	261
678	551	260
