iter	Passed	Remaining
0	146	146616
1	149	74480
2	152	50582
3	154	38535
4	158	31472
5	160	26602
6	163	23168
7	165	20494
8	167	18460
9	170	16868
10	172	15521
11	174	14382
12	176	13410
13	179	12621
14	181	11890
15	185	11394
16	187	10835
17	189	10328
18	191	9884
19	193	9483
20	195	9114
21	197	8787
22	200	8507
23	202	8224
24	203	7951
25	205	7703
26	207	7483
27	209	7277
28	212	7109
29	215	6957
30	216	6782
31	218	6616
32	220	6467
33	222	6322
34	224	6188
35	226	6077
36	229	5971
37	231	5854
38	232	5737
39	234	5632
40	236	5534
41	238	5440
42	240	5354
43	243	5284
44	245	5199
45	246	5115
46	248	5037
47	250	4966
48	252	4901
49	254	4835
50	257	4787
51	259	4734
52	261	4678
53	264	4626
54	266	4571
55	268	4524
56	270	4476
57	272	4431
58	275	4387
59	277	4344
60	279	4296
61	280	4250
62	282	4206
63	285	4173
64	288	4145
65	290	4105
66	292	4068
67	294	4032
68	296	3994
69	297	3955
70	299	3922
71	302	3894
72	304	3865
73	306	3832
74	308	3803
75	310	3772
76	312	3741
77	314	3714
78	316	3691
79	318	3661
80	320	3635
81	322	3609
82	323	3571
83	325	3544
84	326	3515
85	328	3492
86	331	3477
87	333	3455
88	335	3435
89	337	3412
90	339	3389
91	340	3364
92	342	3342
93	345	3332
94	348	3317
95	350	3296
96	351	3276
97	354	3258
98	356	3242
99	358	3227
100	361	3217
101	363	3197
102	365	3179
103	366	3161
104	368	3144
105	370	3128
106	373	3115
107	375	3104
108	378	3095
109	381	3082
110	382	3066
111	384	3048
112	386	3032
113	388	3023
114	392	3017
115	394	3003
116	395	2982
117	396	2964
118	397	2946
119	399	2928
120	400	2911
121	401	2892
122	403	2875
123	404	2859
124	406	2845
125	407	2830
126	409	2811
127	410	2796
128	411	2781
129	413	2765
130	414	2748
131	415	2733
132	417	2718
133	419	2708
134	420	2695
135	422	2682
136	423	2667
137	424	2653
138	426	2642
139	428	2632
140	430	2622
141	431	2608
142	433	2599
143	435	2590
144	437	2578
145	439	2568
146	440	2556
147	442	2545
148	443	2533
149	445	2523
150	446	2512
151	449	2506
152	450	2496
153	452	2483
154	453	2471
155	454	2459
156	456	2450
157	457	2437
158	458	2425
159	459	2413
160	460	2398
161	461	2387
162	462	2375
163	463	2364
164	465	2355
165	466	2344
166	467	2332
167	468	2321
168	469	2309
169	471	2301
170	472	2290
171	473	2280
172	474	2270
173	476	2263
174	479	2258
175	480	2250
176	481	2240
177	483	2230
178	484	2223
179	486	2216
180	487	2208
181	489	2198
182	491	2193
183	492	2185
184	494	2176
185	495	2168
186	496	2158
187	497	2149
188	498	2140
189	499	2130
190	500	2121
191	501	2112
192	502	2103
193	504	2095
194	505	2088
195	507	2081
196	508	2072
197	509	2064
198	510	2056
199	512	2049
200	513	2041
201	514	2033
202	515	2025
203	517	2017
204	518	2010
205	519	2002
206	520	1995
207	522	1988
208	524	1983
209	525	1975
210	526	1967
211	527	1959
212	528	1952
213	529	1944
214	530	1937
215	531	1930
216	532	1922
217	533	1915
218	535	1908
219	536	1903
220	538	1898
221	539	1891
222	540	1884
223	541	1876
224	542	1869
225	544	1863
226	545	1856
227	546	1849
228	547	1842
229	556	1861
230	558	1858
231	561	1858
232	564	1857
233	566	1855
234	569	1853
235	571	1850
236	583	1879
237	587	1879
238	596	1898
239	600	1901
240	601	1895
241	606	1898
242	607	1893
243	609	1887
244	610	1882
245	612	1877
246	614	1874
247	616	1869
248	617	1863
249	619	1859
250	621	1853
251	622	1847
252	623	1840
253	624	1834
254	625	1828
255	628	1828
256	630	1823
257	632	1818
258	633	1812
259	634	1806
260	636	1800
261	637	1795
262	638	1789
263	639	1783
264	640	1777
265	642	1772
266	644	1770
267	646	1764
268	647	1758
269	647	1751
270	648	1745
271	650	1739
272	651	1734
273	652	1728
274	653	1722
275	654	1716
276	655	1710
277	657	1707
278	658	1702
279	660	1697
280	661	1691
281	662	1685
282	662	1679
283	663	1673
284	665	1668
285	666	1663
286	667	1657
287	668	1651
288	669	1646
289	670	1640
290	672	1637
291	673	1633
292	675	1629
293	676	1623
294	677	1618
295	678	1613
296	679	1608
297	680	1603
298	681	1598
299	682	1592
300	683	1587
301	684	1581
302	685	1577
303	687	1574
304	689	1570
305	690	1566
306	691	1561
307	692	1556
308	693	1551
309	694	1546
310	695	1541
311	696	1536
312	697	1531
313	698	1526
314	699	1521
315	701	1518
316	702	1514
317	704	1510
318	705	1505
319	706	1500
320	707	1495
321	708	1491
322	709	1486
323	710	1481
324	711	1477
325	712	1472
326	712	1467
327	713	1462
328	714	1458
329	716	1455
330	718	1451
331	719	1447
332	720	1443
333	721	1438
334	722	1434
335	723	1429
336	724	1424
337	725	1420
338	726	1415
339	727	1411
340	727	1406
341	729	1402
342	730	1398
343	731	1395
344	733	1392
345	734	1388
346	735	1384
347	736	1380
348	737	1376
349	738	1372
350	739	1367
351	740	1363
352	741	1359
353	742	1354
354	743	1350
355	744	1346
356	746	1344
357	748	1342
358	749	1338
359	750	1334
360	752	1331
361	753	1327
362	753	1323
363	754	1318
364	755	1314
365	756	1310
366	757	1306
367	758	1302
368	760	1300
369	761	1297
370	763	1294
371	764	1290
372	765	1286
373	766	1282
374	767	1278
375	767	1274
376	768	1270
377	769	1266
378	770	1262
379	771	1258
380	772	1254
381	772	1250
382	774	1247
383	775	1244
384	777	1241
385	778	1238
386	779	1234
387	780	1230
388	780	1226
389	781	1222
390	782	1219
391	783	1215
392	784	1211
393	785	1208
394	786	1204
395	787	1200
396	788	1197
397	789	1194
398	791	1191
399	792	1188
400	793	1185
401	794	1181
402	795	1177
403	795	1174
404	796	1170
405	797	1166
406	798	1163
407	799	1159
408	799	1155
409	800	1152
410	801	1148
411	806	1150
412	808	1149
413	810	1147
414	812	1145
415	813	1142
416	814	1139
417	815	1136
418	816	1132
419	817	1129
420	818	1125
421	820	1123
422	821	1120
423	822	1117
424	823	1114
425	824	1110
426	825	1107
427	826	1104
428	827	1100
429	828	1097
430	829	1094
431	830	1091
432	831	1088
433	832	1085
434	833	1082
435	834	1079
436	835	1076
437	836	1073
438	837	1070
439	838	1067
440	839	1064
441	840	1061
442	841	1058
443	842	1055
444	843	1052
445	844	1049
446	845	1046
447	847	1043
448	848	1040
449	849	1037
450	850	1035
451	851	1032
452	852	1029
453	853	1027
454	855	1024
455	856	1021
456	856	1018
457	857	1015
458	858	1012
459	860	1009
460	861	1007
461	862	1004
462	863	1001
463	865	999
464	867	997
465	868	995
466	869	992
467	870	989
468	871	986
469	872	984
470	873	981
471	874	978
472	876	976
473	877	973
474	878	970
475	879	967
476	880	965
477	881	962
478	883	960
479	883	957
480	884	954
481	885	952
482	886	949
483	887	946
484	888	943
485	889	940
486	890	938
487	891	935
488	892	932
489	893	930
490	895	927
491	896	925
492	897	923
493	898	920
494	899	917
495	900	915
496	901	912
497	902	910
498	903	907
499	904	904
500	905	901
501	906	899
502	907	896
503	908	893
